Date,Open,High,Low,Close,Adj Close,Volume
2010-08-05,16200.000000,16250.000000,15450.000000,15750.000000,14304.468750,561976
2010-08-06,15950.000000,16400.000000,15350.000000,15450.000000,14032.001953,674494
2010-08-09,15600.000000,15900.000000,15050.000000,15050.000000,13668.713867,326754
2010-08-10,14950.000000,15300.000000,14800.000000,15050.000000,13668.713867,265866
2010-08-11,14950.000000,15100.000000,14400.000000,14450.000000,13123.781250,237112
2010-08-12,14050.000000,14350.000000,13850.000000,13850.000000,12578.849609,236326
2010-08-13,14000.000000,14650.000000,13850.000000,14450.000000,13123.781250,251412
2010-08-16,14450.000000,14450.000000,13950.000000,14350.000000,13032.959961,171879
2010-08-17,14400.000000,15300.000000,14150.000000,15200.000000,13804.947266,370717
2010-08-18,15250.000000,15750.000000,15050.000000,15400.000000,13986.590820,324818
2010-08-19,15500.000000,15600.000000,15050.000000,15100.000000,13714.124023,211972
2010-08-20,15000.000000,15650.000000,14900.000000,15400.000000,13986.590820,171437
2010-08-23,15650.000000,16050.000000,15250.000000,15500.000000,14077.413086,377179
2010-08-24,15450.000000,15550.000000,15000.000000,15200.000000,13804.947266,146352
2010-08-25,15000.000000,15300.000000,14700.000000,14800.000000,13441.659180,132438
2010-08-26,15000.000000,15100.000000,14550.000000,14600.000000,13260.014648,159719
2010-08-27,14600.000000,14850.000000,14450.000000,14700.000000,13350.836914,116758
2010-08-30,15100.000000,15200.000000,14650.000000,14650.000000,13305.425781,165323
2010-08-31,14600.000000,14850.000000,14500.000000,14700.000000,13350.836914,112215
2010-09-01,15000.000000,15750.000000,14850.000000,15600.000000,14168.235352,292969
2010-09-02,15600.000000,16400.000000,15450.000000,16300.000000,14803.989258,427102
2010-09-03,16200.000000,16550.000000,16050.000000,16100.000000,14622.343750,262646
2010-09-06,16300.000000,16750.000000,15900.000000,16050.000000,14576.934570,184626
2010-09-07,16150.000000,16400.000000,15700.000000,15700.000000,14259.057617,163830
2010-09-08,15950.000000,16700.000000,15750.000000,16700.000000,15167.276367,416973
2010-09-09,16550.000000,17100.000000,16400.000000,16800.000000,15258.099609,242762
2010-09-10,16650.000000,16900.000000,16250.000000,16450.000000,14940.221680,227501
2010-09-13,16600.000000,17750.000000,16600.000000,17500.000000,15893.853516,698043
2010-09-14,17500.000000,18000.000000,17250.000000,17800.000000,16166.318359,357168
2010-09-15,17850.000000,18300.000000,17350.000000,17400.000000,15803.030273,237385
2010-09-16,17400.000000,18100.000000,17250.000000,17400.000000,15803.030273,298233
2010-09-17,17400.000000,17800.000000,17000.000000,17300.000000,15712.208984,212725
2010-09-20,17100.000000,17300.000000,16650.000000,17100.000000,15530.565430,172920
2010-09-24,17100.000000,17700.000000,16950.000000,17700.000000,16075.496094,188583
2010-09-27,17600.000000,17950.000000,17150.000000,17900.000000,16257.142578,266146
2010-09-28,17700.000000,17800.000000,17450.000000,17650.000000,16030.085938,219381
2010-09-29,17750.000000,18100.000000,17650.000000,17750.000000,16120.908203,259792
2010-09-30,18000.000000,18000.000000,17400.000000,17650.000000,16030.085938,150971
2010-10-01,17650.000000,18000.000000,17300.000000,18000.000000,16347.964844,212864
2010-10-04,18200.000000,18250.000000,17550.000000,17550.000000,15939.265625,183459
2010-10-05,17300.000000,17850.000000,17200.000000,17450.000000,15848.442383,143022
2010-10-06,17700.000000,17750.000000,16550.000000,17100.000000,15530.565430,466735
2010-10-07,17250.000000,17400.000000,16550.000000,16700.000000,15167.276367,173069
2010-10-08,16750.000000,17200.000000,16650.000000,16800.000000,15258.099609,134273
2010-10-11,16950.000000,17300.000000,16850.000000,17100.000000,15530.565430,143104
2010-10-12,17300.000000,17550.000000,16900.000000,17100.000000,15530.565430,111361
2010-10-13,17200.000000,18000.000000,17150.000000,18000.000000,16347.964844,266184
2010-10-14,17900.000000,19000.000000,17750.000000,18200.000000,16529.607422,424712
2010-10-15,18350.000000,18600.000000,17850.000000,17950.000000,16302.553711,158939
2010-10-18,17950.000000,18600.000000,17650.000000,17850.000000,16211.728516,176619
2010-10-19,18200.000000,18450.000000,17400.000000,17400.000000,15803.030273,175813
2010-10-20,17550.000000,18300.000000,17200.000000,18200.000000,16529.607422,189480
2010-10-21,18200.000000,18600.000000,18100.000000,18200.000000,16529.607422,189543
2010-10-22,18200.000000,19100.000000,17850.000000,18850.000000,17119.951172,270729
2010-10-25,19150.000000,19200.000000,18700.000000,18800.000000,17074.539063,178860
2010-10-26,18700.000000,18950.000000,18300.000000,18850.000000,17119.951172,198586
2010-10-27,18950.000000,20400.000000,18950.000000,19450.000000,17664.880859,533770
2010-10-28,19550.000000,20250.000000,19550.000000,20000.000000,18164.404297,360891
2010-10-29,20350.000000,21000.000000,19800.000000,19850.000000,18028.171875,364482
2010-11-01,20000.000000,20350.000000,19500.000000,20300.000000,18436.869141,320600
2010-11-02,20200.000000,20900.000000,20000.000000,20550.000000,18663.923828,246761
2010-11-03,20650.000000,21000.000000,20150.000000,20800.000000,18890.980469,317227
2010-11-04,20650.000000,20800.000000,19950.000000,20400.000000,18527.693359,288125
2010-11-05,20500.000000,20600.000000,19100.000000,19600.000000,17801.117188,350980
2010-11-08,19500.000000,20200.000000,19400.000000,20150.000000,18300.636719,161984
2010-11-09,20150.000000,20650.000000,19900.000000,20150.000000,18300.636719,150069
2010-11-10,20200.000000,21250.000000,20200.000000,20600.000000,18709.333984,322625
2010-11-11,20800.000000,21550.000000,19650.000000,19650.000000,17846.527344,347029
2010-11-12,20300.000000,20750.000000,18400.000000,18500.000000,16802.074219,466070
2010-11-15,18600.000000,19000.000000,16800.000000,18200.000000,16529.607422,681162
2010-11-16,18350.000000,18450.000000,17600.000000,17600.000000,15984.676758,359680
2010-11-17,17550.000000,18200.000000,17200.000000,17650.000000,16030.085938,310349
2010-11-18,17650.000000,18950.000000,17650.000000,18700.000000,16983.716797,305761
2010-11-19,19100.000000,19100.000000,18300.000000,18750.000000,17029.128906,174630
2010-11-22,18950.000000,19050.000000,18100.000000,18100.000000,16438.785156,188990
2010-11-23,18000.000000,18000.000000,16900.000000,17100.000000,15530.565430,506879
2010-11-24,16200.000000,17600.000000,16200.000000,17300.000000,15712.208984,282489
2010-11-25,17700.000000,18200.000000,17500.000000,17950.000000,16302.553711,310125
2010-11-26,17950.000000,18050.000000,17200.000000,17500.000000,15893.853516,165551
2010-11-29,17400.000000,17800.000000,16950.000000,17300.000000,15712.208984,211650
2010-11-30,17050.000000,18150.000000,17050.000000,17850.000000,16211.728516,152270
2010-12-01,18150.000000,19100.000000,17900.000000,19000.000000,17256.183594,369293
2010-12-02,19350.000000,19550.000000,18800.000000,18850.000000,17119.951172,264300
2010-12-03,19000.000000,19400.000000,18900.000000,19050.000000,17301.593750,193284
2010-12-06,19350.000000,19400.000000,19000.000000,19000.000000,17256.183594,126755
2010-12-07,19200.000000,19200.000000,18350.000000,18400.000000,16711.251953,172230
2010-12-08,18400.000000,18750.000000,17600.000000,17750.000000,16120.908203,206227
2010-12-09,17900.000000,18200.000000,17800.000000,18200.000000,16529.607422,174190
2010-12-10,18300.000000,18800.000000,17900.000000,18550.000000,16847.484375,189341
2010-12-13,18700.000000,18700.000000,18250.000000,18550.000000,16847.484375,111668
2010-12-14,18450.000000,18500.000000,18200.000000,18300.000000,16620.429688,183440
2010-12-15,18450.000000,19300.000000,18400.000000,19300.000000,17528.652344,450120
2010-12-16,19300.000000,19750.000000,19150.000000,19250.000000,17483.238281,370694
2010-12-17,19500.000000,19550.000000,19000.000000,19500.000000,17710.291016,181860
2010-12-20,19100.000000,19250.000000,18800.000000,19050.000000,17301.593750,167721
2010-12-21,19350.000000,20600.000000,19250.000000,20350.000000,18482.283203,425602
