Date,Now,Open,High,Low,Volueme,Rate
2019-08-06,72.000,73.100,73.900,71.900,500,-4.51
2019-08-05,75.400,75.500,76.000,74.900,284,-0.92
2019-08-02,76.100,75.400,76.800,74.900,483,-2.06
2019-08-01,77.700,75.300,78.700,75.300,340,1.04
2019-07-31,76.900,78.000,79.100,75.300,365,-2.53
2019-07-30,78.900,78.200,80.000,77.700,233,2.47
2019-07-29,77.000,79.000,79.400,76.500,261,-3.51
2019-07-26,79.800,78.100,80.300,78.000,306,0.76
2019-07-25,79.200,79.700,80.400,77.700,396,2.06
2019-07-24,77.600,78.800,80.200,77.100,356,-1.52
2019-07-23,78.800,79.700,80.700,78.200,480,0.51
2019-07-22,78.400,77.800,79.200,77.000,321,2.08
2019-07-19,76.800,75.900,77.000,75.600,262,2.81
2019-07-18,74.700,74.300,75.200,73.900,190,0.13
2019-07-17,74.600,74.600,75.200,74.000,280,-1.97
2019-07-16,76.100,74.800,76.500,74.800,240,-0.13
2019-07-15,76.200,74.500,76.500,74.400,211,2.01
2019-07-12,74.700,75.600,75.800,74.400,259,-1.06
2019-07-11,75.500,74.000,75.500,74.000,510,3.57
2019-07-10,72.900,71.500,73.400,71.000,434,4.44
2019-07-09,69.800,68.400,70.500,67.900,290,3.56
2019-07-08,67.400,66.400,68.000,66.200,220,-1.46
2019-07-05,68.400,70.300,71.000,68.400,204,-2.56
2019-07-04,70.200,69.600,70.700,69.300,150,1.59
2019-07-03,69.100,71.100,71.700,69.000,270,-3.22
2019-07-02,71.400,69.700,71.700,69.100,248,2.00
2019-07-01,70.000,71.000,71.000,69.700,353,0.72
2019-06-28,69.500,70.900,70.900,68.400,311,-1.00
2019-06-27,70.200,70.100,71.600,69.700,532,1.89
2019-06-26,68.900,68.300,69.600,67.900,502,3.30
2019-06-25,66.700,66.700,67.400,66.300,187,-0.30
2019-06-24,66.900,65.900,67.400,65.600,216,1.52
2019-06-21,65.900,67.100,67.300,65.900,240,-2.08
2019-06-20,67.300,67.200,67.400,66.200,275,0.15
2019-06-19,67.200,65.800,67.300,65.200,616,5.99
2019-06-18,63.400,63.800,64.200,63.300,154,-0.47
2019-06-17,63.700,62.800,63.800,62.400,243,0.95
2019-06-14,63.100,63.200,64.000,62.600,349,-0.63
2019-06-13,63.500,64.900,65.100,63.300,591,-3.35
2019-06-12,65.700,66.800,67.100,65.700,243,-2.23
2019-06-11,67.200,66.900,67.800,66.700,242,0.60
2019-06-10,66.800,66.100,67.000,65.800,309,2.14
2019-06-07,65.400,65.200,66.000,64.600,235,0.46
2019-06-05,65.100,66.900,67.600,64.900,481,0.00
2019-06-04,65.100,66.500,66.700,65.100,277,-2.25
2019-06-03,66.600,65.200,67.200,64.200,397,1.99
2019-05-31,65.300,65.900,66.900,64.700,314,-0.91
