Date,Open,High,Low,Close,Adj Close,Volume
2010-08-09,22900.000000,23100.000000,22600.000000,22700.000000,20799.550781,6459921
2010-08-10,22850.000000,23250.000000,22600.000000,22600.000000,20707.919922,7291456
2010-08-11,22000.000000,22100.000000,21200.000000,21200.000000,19425.128906,18817692
2010-08-12,20600.000000,21500.000000,20200.000000,21200.000000,19425.128906,12998314
2010-08-13,21500.000000,21800.000000,21300.000000,21650.000000,19837.455078,7424947
2010-08-16,21550.000000,22150.000000,21200.000000,22100.000000,20249.783203,7516046
2010-08-17,21900.000000,22250.000000,21700.000000,22100.000000,20249.783203,5811547
2010-08-18,22250.000000,22300.000000,21500.000000,21700.000000,19883.269531,6983126
2010-08-19,22150.000000,22650.000000,22000.000000,22500.000000,20616.291016,9819951
2010-08-20,22250.000000,22450.000000,21950.000000,22000.000000,20158.154297,6460303
2010-08-23,22000.000000,22350.000000,21300.000000,21400.000000,19608.384766,8157582
2010-08-24,21300.000000,22050.000000,21050.000000,21950.000000,20112.341797,7157131
2010-08-25,21700.000000,22150.000000,21550.000000,22050.000000,20203.968750,7245870
2010-08-26,22400.000000,23000.000000,22050.000000,22600.000000,20707.919922,15359116
2010-08-27,22500.000000,22700.000000,22250.000000,22550.000000,20662.109375,6285487
2010-08-30,22900.000000,22950.000000,22350.000000,22500.000000,20616.291016,7758729
2010-08-31,22100.000000,22200.000000,21000.000000,21100.000000,19333.500000,17865928
2010-09-01,21250.000000,21350.000000,20500.000000,20850.000000,19104.431641,17815184
2010-09-02,21300.000000,21400.000000,20900.000000,21100.000000,19333.500000,12904961
2010-09-03,21300.000000,21950.000000,21300.000000,21800.000000,19974.898438,13639345
2010-09-06,22200.000000,22450.000000,21750.000000,21850.000000,20020.710938,9711374
2010-09-07,21750.000000,21950.000000,21300.000000,21500.000000,19700.013672,7124298
2010-09-08,21100.000000,21200.000000,20500.000000,20750.000000,19012.802734,16548438
2010-09-09,20800.000000,21050.000000,20100.000000,20300.000000,18600.478516,15142216
2010-09-10,20500.000000,20800.000000,20350.000000,20650.000000,18921.173828,8082652
2010-09-13,20650.000000,21000.000000,20400.000000,20500.000000,18783.730469,8987013
2010-09-14,21100.000000,21250.000000,20300.000000,20450.000000,18737.919922,11691732
2010-09-15,20700.000000,21000.000000,20350.000000,21000.000000,19241.871094,9513200
2010-09-16,20900.000000,21300.000000,20800.000000,21100.000000,19333.500000,9011586
2010-09-17,21400.000000,22500.000000,21350.000000,22500.000000,20616.291016,24108564
2010-09-20,22600.000000,22650.000000,22000.000000,22100.000000,20249.783203,10413532
2010-09-24,21700.000000,21750.000000,21050.000000,21100.000000,19333.500000,15684755
2010-09-27,21550.000000,21800.000000,21100.000000,21200.000000,19425.128906,11280480
2010-09-28,21250.000000,21650.000000,21100.000000,21350.000000,19562.570313,6913988
2010-09-29,21500.000000,22200.000000,21500.000000,21850.000000,20020.710938,12697376
2010-09-30,22050.000000,22300.000000,21750.000000,22150.000000,20295.593750,7490418
2010-10-01,22100.000000,22450.000000,21900.000000,22450.000000,20570.480469,8886335
2010-10-04,22600.000000,22950.000000,22450.000000,22500.000000,20616.291016,10579141
2010-10-05,22350.000000,22750.000000,22000.000000,22750.000000,20845.361328,8426683
2010-10-06,23300.000000,23600.000000,23100.000000,23400.000000,21440.943359,15679885
2010-10-07,23250.000000,23500.000000,22950.000000,23200.000000,21257.687500,9496234
2010-10-08,23200.000000,23700.000000,23150.000000,23500.000000,21532.572266,7555777
2010-10-11,23750.000000,23800.000000,22250.000000,22350.000000,20478.849609,14753593
2010-10-12,22450.000000,23000.000000,22400.000000,22600.000000,20707.919922,8415166
2010-10-13,23000.000000,23500.000000,22950.000000,23400.000000,21440.943359,11235071
2010-10-14,23600.000000,23800.000000,23050.000000,23350.000000,21395.128906,9973644
2010-10-15,23200.000000,23650.000000,23050.000000,23600.000000,21624.201172,6270596
2010-10-18,23700.000000,23700.000000,22800.000000,22900.000000,20982.804688,10110886
2010-10-19,22900.000000,23350.000000,22600.000000,22850.000000,20936.990234,10518660
2010-10-20,22850.000000,23950.000000,22700.000000,23900.000000,21899.085938,14896424
2010-10-21,24000.000000,24400.000000,23750.000000,23750.000000,21761.644531,13076672
2010-10-22,24000.000000,24400.000000,23900.000000,24200.000000,22173.968750,7879221
2010-10-25,24400.000000,24400.000000,23750.000000,24300.000000,22265.595703,8220022
2010-10-26,24100.000000,24250.000000,23400.000000,23700.000000,21715.828125,10837708
2010-10-27,23500.000000,23600.000000,22900.000000,22900.000000,20982.804688,12597011
2010-10-28,23300.000000,23450.000000,22600.000000,22850.000000,20936.990234,13646223
2010-10-29,22700.000000,23150.000000,22300.000000,23150.000000,21211.876953,11648795
2010-11-01,23200.000000,23300.000000,22600.000000,22700.000000,20799.550781,8625128
2010-11-02,22600.000000,22700.000000,21900.000000,21900.000000,20066.523438,13096075
2010-11-03,21950.000000,22400.000000,21750.000000,21800.000000,19974.898438,7848475
2010-11-04,22200.000000,23150.000000,22200.000000,22950.000000,21028.617188,14158434
2010-11-05,24100.000000,24200.000000,23650.000000,23750.000000,21761.644531,18935984
2010-11-08,24050.000000,24350.000000,23700.000000,23800.000000,21807.458984,9799616
2010-11-09,23700.000000,23800.000000,23250.000000,23450.000000,21486.757813,6533402
2010-11-10,23200.000000,23950.000000,23200.000000,23900.000000,21899.085938,7195195
2010-11-11,23800.000000,24400.000000,23400.000000,23400.000000,21440.943359,11481636
2010-11-12,23600.000000,23700.000000,22700.000000,22800.000000,20891.177734,11694654
2010-11-15,22900.000000,23800.000000,22750.000000,23650.000000,21670.013672,9818328
2010-11-16,23650.000000,24000.000000,23300.000000,23700.000000,21715.828125,8472321
2010-11-17,23600.000000,23650.000000,23100.000000,23350.000000,21395.128906,7295029
2010-11-18,23550.000000,23700.000000,23050.000000,23700.000000,21715.828125,6399373
2010-11-19,23700.000000,24200.000000,23550.000000,23900.000000,21899.085938,8162405
2010-11-22,24300.000000,25300.000000,24200.000000,25300.000000,23181.873047,21457216
2010-11-23,25400.000000,25650.000000,25100.000000,25350.000000,23227.689453,11292097
2010-11-24,24800.000000,25850.000000,24650.000000,25750.000000,23594.201172,18758304
2010-11-25,26000.000000,26000.000000,25100.000000,25200.000000,23090.246094,11221899
2010-11-26,25200.000000,25600.000000,24500.000000,24650.000000,22586.294922,10460263
2010-11-29,24800.000000,25000.000000,24550.000000,24800.000000,22723.736328,7256952
2010-11-30,24050.000000,24150.000000,23400.000000,23500.000000,21532.572266,19498212
2010-12-01,23550.000000,23750.000000,23000.000000,23400.000000,21440.943359,10635628
2010-12-02,23650.000000,24050.000000,23550.000000,23800.000000,21807.458984,9207371
2010-12-03,24000.000000,24150.000000,23250.000000,23450.000000,21486.757813,7885623
2010-12-06,23600.000000,24100.000000,23500.000000,23950.000000,21944.898438,6710295
2010-12-07,23400.000000,23650.000000,23200.000000,23600.000000,21624.201172,9116530
2010-12-08,23650.000000,23900.000000,23250.000000,23300.000000,21349.318359,5590637
2010-12-09,23350.000000,24200.000000,23300.000000,24150.000000,22128.154297,10114609
2010-12-10,24100.000000,24650.000000,23800.000000,24500.000000,22448.853516,9808145
2010-12-13,24300.000000,24500.000000,24000.000000,24350.000000,22311.410156,5395700
2010-12-14,24500.000000,25150.000000,24450.000000,24750.000000,22677.921875,8097479
2010-12-15,24900.000000,24900.000000,24100.000000,24250.000000,22219.781250,6689304
2010-12-16,24250.000000,24750.000000,24100.000000,24200.000000,22173.968750,5112851
2010-12-17,24450.000000,24600.000000,23650.000000,23800.000000,21807.458984,9405902
2010-12-20,23400.000000,23650.000000,23100.000000,23650.000000,21670.013672,7767206
2010-12-21,23850.000000,24200.000000,23650.000000,23750.000000,21761.644531,8015026
2010-12-22,23500.000000,23850.000000,23300.000000,23300.000000,21349.318359,7763061
2010-12-23,23350.000000,23500.000000,23000.000000,23300.000000,21349.318359,5702470
2010-12-24,23400.000000,23800.000000,23050.000000,23150.000000,21211.876953,5626401
2010-12-27,22900.000000,23350.000000,22900.000000,23100.000000,21166.060547,3559457
2010-12-28,23250.000000,24250.000000,23250.000000,23950.000000,21944.898438,11916163
2010-12-29,24200.000000,24400.000000,24050.000000,24250.000000,22501.640625,5347215
2010-12-30,24300.000000,24500.000000,23900.000000,24000.000000,22269.666016,5674885
2011-01-03,25000.000000,25300.000000,24800.000000,25300.000000,23475.937500,15055822
2011-01-04,25400.000000,25600.000000,25050.000000,25600.000000,23754.308594,10914952
2011-01-05,25450.000000,26300.000000,25200.000000,25900.000000,24032.679688,14114824
2011-01-06,26250.000000,26600.000000,25800.000000,26100.000000,24218.259766,14247180
2011-01-07,26100.000000,26450.000000,25700.000000,26100.000000,24218.259766,6972142
2011-01-10,26000.000000,26050.000000,25300.000000,25300.000000,23475.937500,9564575
2011-01-11,25500.000000,25650.000000,25100.000000,25400.000000,23568.726563,6880074
2011-01-12,25600.000000,26550.000000,25550.000000,26350.000000,24450.236328,15950916
2011-01-13,27000.000000,27600.000000,26850.000000,27250.000000,25285.345703,19270228
2011-01-14,27300.000000,27450.000000,26750.000000,27250.000000,25285.345703,8844276
2011-01-17,27350.000000,27450.000000,26900.000000,26900.000000,24960.582031,6168252
2011-01-18,26850.000000,28100.000000,26800.000000,27650.000000,25656.511719,15595337
2011-01-19,28050.000000,28400.000000,27600.000000,27850.000000,25842.089844,8652723
2011-01-20,27650.000000,28200.000000,27600.000000,28200.000000,26166.855469,6893840
2011-01-21,28150.000000,28450.000000,27700.000000,28100.000000,26074.062500,7611938
